BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,EdgeCount,Indegree,NeighborhoodConnectivity,Outdegree
0,0,0.14619883,19,19,202.6315789,0
0,0,0.2,11,11,187.7272727,0
0,0,0.180555556,9,9,308.7777778,0
0.944836693,0.394916411,0.101952643,139,58,137.5895522,81
61.76659818,0.535755612,0.042751344,832,245,119.9418919,587
0.505685971,0.38525545,0.122413793,124,45,132.0775862,79
0,0,0.145320197,29,29,198.7241379,0
0,0,0.196969697,12,12,210.0833333,0
0,0,0.065217391,24,24,134.875,0
0.010879626,1,0.057932264,34,31,105.7647059,3
0,0,0.102756892,57,57,150.5614035,0
0.323660767,0.306866384,0.186206897,32,27,175,5
0,0,0.12405303,33,33,178.6969697,0
0.088320796,0.338054907,0.210227273,36,24,155.2121212,12
6.45E-04,0.323912131,0.288095238,23,19,271.952381,4
0.567374147,0.28951976,0.198780488,41,39,195.6585366,2
0,0,0.068115942,70,70,193.5142857,0
0,0,0.098522167,29,29,146.7931034,0
0,0,0.127311522,38,38,173.1052632,0
0,0,0.125,8,8,242.75,0
0.084264341,0.302456232,0.099190283,39,33,137.1282051,6
0,0,0.088744589,22,22,173.1818182,0
0,0,0.097530864,81,81,190.8765432,0
3.58E-04,0.273156342,0.194852941,17,15,203.5294118,2
0.003521227,0.571428571,0.121428571,21,18,171.047619,3
3.434467685,0.441456903,0.063571779,159,47,149.4394904,112
0.279532805,0.300337312,0.147619048,16,10,185.4,6
0,0,0.087301587,63,63,134.031746,0
0,0,0.169892473,31,31,216.5483871,0
0.011193271,1,0.108627451,51,49,166.2156863,2
0,0,0.25,29,29,221.7241379,0
0,0,0.17295082,61,61,200.8032787,0
0.829758665,0.390519568,0.1109842,111,54,163.038835,57
0,0,0.143771044,55,55,179.8363636,0
0,0,0.203703704,28,28,217,0
0,0,0.119354839,31,31,199.516129,0
0,0,0.088333333,25,25,145.08,0
0,0,0.053140097,46,46,120.4565217,0
4.45837892,0.36205818,0.079891304,165,136,155.378882,29
0,0,0.141666667,16,16,208.625,0
11.23037524,0.471678892,0.053210917,431,162,116.0977444,269
0,0,0.072727273,11,11,222.1818182,0
1.618472805,0.391311697,0.123102585,122,65,192.7181818,57
0,0,0.102036147,94,94,177.106383,0
14.00055681,0.344289114,0.024423082,472,457,101.9828694,15
0.508075648,0.316993017,0.139676113,40,38,216.5641026,2
1.524227369,0.395794153,0.085252789,122,60,166.8474576,62
0,0,0.111111111,9,9,194.8888889,0
0.019966034,0.303606557,0.107575758,45,42,206.3333333,3
9.320529069,0.461983636,0.069878643,334,104,125.0128617,230
0.631143511,0.244481994,0.103367003,56,54,206.6363636,2
0.654325857,0.226273092,0.087341772,81,80,171.8625,1
1.711187037,0.402678727,0.084318361,195,60,128.5502646,135
0.309994812,0.264178934,0.119909502,52,51,184.5,1
1.42967714,0.395051195,0.102503912,76,65,170.0277778,11
0,0,0,2,2,160.5,0
0,0,0.15,5,5,155,0
0,0,0.063035612,178,178,136.3033708,0
0,0,0.093465347,101,101,149.1584158,0
0,0.349268587,0.092391304,24,0,93.125,24
0.313634098,0.255237045,0.091911765,18,14,80.82352941,4
0.470422717,0.281356344,0.039855072,24,21,98.54166667,3
0,0,0.021428571,21,21,44.33333333,0
0.603868383,0.331899642,0.099303136,42,38,143.1428571,4
1.915175225,0.375445994,0.075902972,130,99,120.9430894,31
0,0,0.07826087,46,46,113.8913043,0
4.059702603,0.417192287,0.071408552,240,128,128.28125,112
